Pais;Bandeira;Wikipedia;População
;;;
China;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Flag_of_the_People%27s_Republic_of_China.svg/22px-Flag_of_the_People%27s_Republic_of_China.svg.png;https://wikipedia.org//wiki/China;1411780000
Índia;https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Flag_of_India.svg/22px-Flag_of_India.svg.png;https://wikipedia.org//wiki/%C3%8Dndia;1380004385
Estados Unidos;https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/Flag_of_the_United_States.svg/22px-Flag_of_the_United_States.svg.png;https://wikipedia.org//wiki/Estados_Unidos;331449281
Indonésia;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9f/Flag_of_Indonesia.svg/22px-Flag_of_Indonesia.svg.png;https://wikipedia.org//wiki/Indon%C3%A9sia;273523615
Paquistão;https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Flag_of_Pakistan.svg/22px-Flag_of_Pakistan.svg.png;https://wikipedia.org//wiki/Paquist%C3%A3o;220892340
Brasil;https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Flag_of_Brazil.svg/22px-Flag_of_Brazil.svg.png;https://wikipedia.org//wiki/Brasil;211755692
Nigéria;https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Flag_of_Nigeria.svg/22px-Flag_of_Nigeria.svg.png;https://wikipedia.org//wiki/Nig%C3%A9ria;206139589
Bangladesh;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f9/Flag_of_Bangladesh.svg/22px-Flag_of_Bangladesh.svg.png;https://wikipedia.org//wiki/Bangladesh;164689383
Rússia;https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Flag_of_Russia.svg/22px-Flag_of_Russia.svg.png;https://wikipedia.org//wiki/R%C3%BAssia;145934462
México;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Flag_of_Mexico.svg/22px-Flag_of_Mexico.svg.png;https://wikipedia.org//wiki/M%C3%A9xico;128932753
Japão;https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Flag_of_Japan.svg/22px-Flag_of_Japan.svg.png;https://wikipedia.org//wiki/Jap%C3%A3o;126476461
Etiópia;https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Flag_of_Ethiopia.svg/22px-Flag_of_Ethiopia.svg.png;https://wikipedia.org//wiki/Eti%C3%B3pia;114963588
Filipinas;https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Flag_of_the_Philippines.svg/22px-Flag_of_the_Philippines.svg.png;https://wikipedia.org//wiki/Filipinas;109581078
Egito;https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Flag_of_Egypt.svg/22px-Flag_of_Egypt.svg.png;https://wikipedia.org//wiki/Egito;102334404
Vietname;https://upload.wikimedia.org/wikipedia/commons/thumb/2/21/Flag_of_Vietnam.svg/22px-Flag_of_Vietnam.svg.png;https://wikipedia.org//wiki/Vietname;97338579
República Democrática do Congo;https://upload.wikimedia.org/wikipedia/commons/thumb/6/6f/Flag_of_the_Democratic_Republic_of_the_Congo.svg/22px-Flag_of_the_Democratic_Republic_of_the_Congo.svg.png;https://wikipedia.org//wiki/Rep%C3%BAblica_Democr%C3%A1tica_do_Congo;89561403
Turquia;https://upload.wikimedia.org/wikipedia/commons/thumb/b/b4/Flag_of_Turkey.svg/22px-Flag_of_Turkey.svg.png;https://wikipedia.org//wiki/Turquia;84339067
Irã;https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Flag_of_Iran.svg/22px-Flag_of_Iran.svg.png;https://wikipedia.org//wiki/Ir%C3%A3o;83992949
Alemanha;https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Flag_of_Germany.svg/22px-Flag_of_Germany.svg.png;https://wikipedia.org//wiki/Alemanha;83783942
